Order_ID,Order_Date,Ship_Date,Customer_ID,Segment,Region,State,City,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit,Year,Month,Month_Name,Profit_Margin_%
ORD-01327,2024-01-06,2024-01-12,CUST-0356,Corporate,East,Bihar,Patna,Electronics,Tablets,Apex Tablets Ultra,158590.75,3,0.05,9569.89,2024,1,Jan 2024,6.03
ORD-01325,2024-11-23,2024-11-24,CUST-0186,Consumer,West,Rajasthan,Jaipur,Clothing,Winter Wear,Pulse Winter Wear Max,1921.66,3,0.1,453.11,2024,11,Nov 2024,23.58
ORD-01080,2023-09-12,2023-09-14,CUST-0331,Consumer,North,Uttar Pradesh,Lucknow,Furniture,Office Chairs,Orbit Office Chairs Classic,33869.37,2,0.05,3958.33,2023,9,Sep 2023,11.69
ORD-01500,2024-10-06,2024-10-09,CUST-0324,Consumer,South,Karnataka,Bengaluru,Clothing,Men's Wear,Zenith Men's Wear Eco,3769.0,3,0.05,1150.86,2024,10,Oct 2024,30.53
ORD-00058,2023-06-29,2023-07-03,CUST-0138,Consumer,North,Uttar Pradesh,Lucknow,Clothing,Winter Wear,Vertex Winter Wear Plus,1035.32,2,0.05,328.32,2023,6,Jun 2023,31.71
ORD-01496,2023-11-10,2023-11-15,CUST-0320,Consumer,South,Telangana,Hyderabad,Groceries,Personal Care,Vertex Personal Care Plus,1097.47,1,0.0,288.34,2023,11,Nov 2023,26.27
ORD-01185,2023-02-08,2023-02-11,CUST-0267,Consumer,East,Odisha,Bhubaneswar,Clothing,Women's Wear,Apex Women's Wear Eco,2974.23,1,0.1,766.52,2023,2,Feb 2023,25.77
ORD-01514,2023-11-01,2023-11-03,CUST-0309,Home Office,South,Karnataka,Bengaluru,Clothing,Women's Wear,Atlas Women's Wear Classic,4625.64,2,0.05,1572.08,2023,11,Nov 2023,33.99
ORD-00145,2023-11-23,2023-11-28,CUST-0314,Corporate,South,Telangana,Hyderabad,Clothing,Winter Wear,Crest Winter Wear Classic,692.66,2,0.0,270.89,2023,11,Nov 2023,39.11
ORD-01284,2023-11-12,2023-11-18,CUST-0008,Consumer,West,Maharashtra,Pune,Furniture,Office Chairs,Aura Office Chairs Premium,46576.89,2,0.05,6730.51,2023,11,Nov 2023,14.45
ORD-00509,2024-01-26,2024-02-01,CUST-0029,Consumer,North,Delhi,New Delhi,Furniture,Bookcases,Nova Bookcases Smart,19066.1,1,0.0,4430.32,2024,1,Jan 2024,23.24
ORD-01811,2024-12-21,2024-12-25,CUST-0157,Consumer,West,Gujarat,Ahmedabad,Furniture,Bed Frames,Crest Bed Frames Premium,19724.36,2,0.15,920.07,2024,12,Dec 2024,4.66
ORD-00869,2024-12-15,2024-12-16,CUST-0051,Consumer,North,Delhi,New Delhi,Electronics,Headphones,Pulse Headphones Pro,93816.54,2,0.2,-8977.07,2024,12,Dec 2024,-9.57
ORD-00154,2024-06-08,2024-06-11,CUST-0149,Corporate,West,Rajasthan,Jaipur,Groceries,Beverages,Aura Beverages Smart,9197.61,9,0.1,1001.9,2024,6,Jun 2024,10.89
ORD-01331,2023-03-18,2023-03-20,CUST-0033,Consumer,West,Maharashtra,Mumbai,Electronics,Headphones,Apex Headphones Ultra,23683.78,1,0.0,1242.04,2023,3,Mar 2023,5.24
ORD-00933,2024-03-26,2024-03-30,CUST-0242,Corporate,East,Odisha,Bhubaneswar,Clothing,Winter Wear,Atlas Winter Wear Smart,2333.41,3,0.05,751.41,2024,3,Mar 2024,32.2
ORD-00738,2024-10-18,2024-10-23,CUST-0196,Consumer,South,Karnataka,Bengaluru,Groceries,Staples,Atlas Staples Eco,7927.65,9,0.05,1187.95,2024,10,Oct 2024,14.98
ORD-00253,2023-11-17,2023-11-22,CUST-0047,Consumer,South,Karnataka,Bengaluru,Groceries,Snacks,Nimbus Snacks Classic,119.29,1,0.0,32.73,2023,11,Nov 2023,27.44
ORD-01019,2024-11-16,2024-11-18,CUST-0347,Consumer,South,Karnataka,Bengaluru,Groceries,Beverages,Orbit Beverages Eco,1073.83,1,0.05,201.04,2024,11,Nov 2024,18.72
ORD-01483,2023-04-06,2023-04-10,CUST-0050,Corporate,East,Odisha,Bhubaneswar,Groceries,Personal Care,Apex Personal Care Eco,367.92,3,0.1,30.87,2023,4,Apr 2023,8.39
ORD-01266,2024-10-24,2024-10-28,CUST-0400,Corporate,West,Maharashtra,Pune,Furniture,Sofas,Vertex Sofas Lite,9602.82,1,0.05,1242.95,2024,10,Oct 2024,12.94
ORD-00406,2024-02-26,2024-03-01,CUST-0191,Consumer,East,Bihar,Patna,Clothing,Women's Wear,Zenith Women's Wear Lite,10472.53,4,0.0,3816.48,2024,2,Feb 2024,36.44
ORD-00720,2024-02-19,2024-02-21,CUST-0031,Consumer,North,Haryana,Gurugram,Electronics,Laptops,Orbit Laptops Basic,26317.21,3,0.0,2620.28,2024,2,Feb 2024,9.96
ORD-01272,2024-10-28,2024-11-03,CUST-0185,Consumer,North,Haryana,Gurugram,Electronics,Mobile Phones,Apex Mobile Phones Plus,69810.85,2,0.05,2954.15,2024,10,Oct 2024,4.23
ORD-01910,2024-05-18,2024-05-23,CUST-0300,Home Office,North,Haryana,Gurugram,Electronics,Smart Watches,Pulse Smart Watches Ultra,29962.39,1,0.15,-3728.68,2024,5,May 2024,-12.44
ORD-01062,2024-03-25,2024-03-30,CUST-0292,Consumer,South,Tamil Nadu,Chennai,Clothing,Winter Wear,Apex Winter Wear Max,2889.84,4,0.0,995.59,2024,3,Mar 2024,34.45
ORD-00762,2024-03-22,2024-03-27,CUST-0013,Home Office,North,Uttar Pradesh,Lucknow,Electronics,Mobile Phones,Crest Mobile Phones Basic,75347.17,2,0.05,6744.55,2024,3,Mar 2024,8.95
ORD-01329,2024-08-11,2024-08-13,CUST-0200,Consumer,West,Maharashtra,Pune,Furniture,Study Tables,Nova Study Tables Eco,29833.4,1,0.0,6353.05,2024,8,Aug 2024,21.3
ORD-01698,2023-11-02,2023-11-04,CUST-0224,Consumer,North,Uttar Pradesh,Ghaziabad,Electronics,Laptops,Orbit Laptops Plus,49944.74,1,0.15,-3200.07,2023,11,Nov 2023,-6.41
ORD-01739,2023-08-12,2023-08-13,CUST-0040,Consumer,South,Karnataka,Bengaluru,Office Supplies,Printers,Nimbus Printers Ultra,25548.3,5,0.0,7822.82,2023,8,Aug 2023,30.62
ORD-00496,2024-11-19,2024-11-22,CUST-0267,Consumer,North,Punjab,Ludhiana,Electronics,Smart Watches,Zenith Smart Watches Eco,91495.34,3,0.2,-12274.23,2024,11,Nov 2024,-13.42
ORD-00731,2023-01-21,2023-01-25,CUST-0133,Consumer,South,Karnataka,Bengaluru,Electronics,Tablets,Orbit Tablets Eco,58908.53,3,0.4,-16119.2,2023,1,Jan 2023,-27.36
ORD-01507,2023-01-22,2023-01-27,CUST-0064,Consumer,West,Maharashtra,Mumbai,Clothing,Men's Wear,Pulse Men's Wear Classic,3069.31,3,0.15,522.99,2023,1,Jan 2023,17.04
ORD-01253,2023-09-23,2023-09-29,CUST-0334,Home Office,West,Rajasthan,Jaipur,Furniture,Bed Frames,Crest Bed Frames Classic,15618.15,1,0.0,3078.29,2023,9,Sep 2023,19.71
ORD-01036,2023-07-10,2023-07-12,CUST-0258,Corporate,North,Punjab,Ludhiana,Groceries,Personal Care,Nimbus Personal Care Classic,6949.2,7,0.05,1423.76,2023,7,Jul 2023,20.49
ORD-00806,2023-05-27,2023-05-31,CUST-0215,Corporate,West,Maharashtra,Mumbai,Clothing,Footwear,Vertex Footwear Plus,19182.51,5,0.15,3199.62,2023,5,May 2023,16.68
ORD-01627,2024-06-06,2024-06-12,CUST-0099,Home Office,North,Uttar Pradesh,Lucknow,Electronics,Laptops,Vertex Laptops Pro,7754.51,1,0.2,-815.6,2024,6,Jun 2024,-10.52
ORD-01305,2024-10-21,2024-10-22,CUST-0304,Home Office,East,Bihar,Patna,Groceries,Staples,Vertex Staples Premium,2398.27,3,0.2,-26.36,2024,10,Oct 2024,-1.1
ORD-01734,2024-03-24,2024-03-28,CUST-0136,Home Office,South,Tamil Nadu,Chennai,Clothing,Footwear,Vertex Footwear Basic,12260.79,3,0.1,3009.81,2024,3,Mar 2024,24.55
ORD-00646,2024-11-07,2024-11-08,CUST-0163,Home Office,South,Tamil Nadu,Chennai,Furniture,Office Chairs,Aura Office Chairs Ultra,25534.88,1,0.0,4757.43,2024,11,Nov 2024,18.63
ORD-01967,2024-03-19,2024-03-23,CUST-0231,Corporate,North,Delhi,New Delhi,Groceries,Snacks,Orbit Snacks Plus,788.93,7,0.0,195.84,2024,3,Mar 2024,24.82
ORD-00803,2023-04-09,2023-04-12,CUST-0116,Consumer,South,Tamil Nadu,Chennai,Office Supplies,Printers,Orbit Printers Plus,7543.94,4,0.0,1815.39,2023,4,Apr 2023,24.06
ORD-01858,2024-10-03,2024-10-07,CUST-0155,Consumer,West,Maharashtra,Pune,Clothing,Women's Wear,Atlas Women's Wear Pro,11420.25,3,0.2,2005.9,2024,10,Oct 2024,17.56
ORD-01471,2024-10-14,2024-10-20,CUST-0043,Home Office,North,Uttar Pradesh,Ghaziabad,Furniture,Office Chairs,Nova Office Chairs Pro,32889.73,2,0.1,3177.61,2024,10,Oct 2024,9.66
ORD-01716,2024-11-23,2024-11-29,CUST-0229,Home Office,North,Haryana,Gurugram,Office Supplies,Stationery,Nimbus Stationery Plus,12206.65,3,0.0,3274.66,2024,11,Nov 2024,26.83
ORD-00773,2024-07-11,2024-07-12,CUST-0070,Consumer,West,Rajasthan,Jaipur,Electronics,Mobile Phones,Apex Mobile Phones Lite,25433.72,2,0.05,1255.59,2024,7,Jul 2024,4.94
ORD-01604,2024-10-05,2024-10-06,CUST-0095,Consumer,South,Telangana,Hyderabad,Clothing,Winter Wear,Atlas Winter Wear Basic,10785.59,4,0.05,3390.84,2024,10,Oct 2024,31.44
ORD-00399,2023-10-14,2023-10-15,CUST-0098,Consumer,North,Delhi,New Delhi,Clothing,Men's Wear,Aura Men's Wear Plus,9128.73,5,0.2,1364.95,2023,10,Oct 2023,14.95
ORD-01434,2024-02-15,2024-02-16,CUST-0385,Corporate,West,Maharashtra,Pune,Clothing,Footwear,Vertex Footwear Smart,4055.94,4,0.0,1369.21,2024,2,Feb 2024,33.76
ORD-00410,2024-02-01,2024-02-03,CUST-0376,Corporate,West,Rajasthan,Jaipur,Groceries,Beverages,Nova Beverages Premium,4290.7,4,0.3,-543.27,2024,2,Feb 2024,-12.66
ORD-00870,2023-01-09,2023-01-13,CUST-0310,Consumer,East,Bihar,Patna,Clothing,Women's Wear,Zenith Women's Wear Ultra,4655.33,3,0.15,1118.98,2023,1,Jan 2023,24.04
ORD-01469,2024-12-28,2025-01-02,CUST-0268,Corporate,East,Odisha,Bhubaneswar,Furniture,Bed Frames,Nova Bed Frames Premium,14562.47,1,0.0,2810.36,2024,12,Dec 2024,19.3
ORD-00274,2024-11-19,2024-11-21,CUST-0282,Corporate,South,Karnataka,Bengaluru,Office Supplies,Printers,Nova Printers Premium,16206.93,3,0.1,3110.66,2024,11,Nov 2024,19.19
ORD-00462,2023-12-09,2023-12-14,CUST-0125,Consumer,North,Haryana,Gurugram,Groceries,Beverages,Pulse Beverages Basic,1884.36,3,0.15,192.45,2023,12,Dec 2023,10.21
ORD-01818,2023-12-29,2024-01-01,CUST-0259,Consumer,South,Telangana,Hyderabad,Furniture,Office Chairs,Atlas Office Chairs Ultra,28581.32,1,0.05,2007.39,2023,12,Dec 2023,7.02
ORD-00190,2024-05-17,2024-05-19,CUST-0268,Consumer,South,Telangana,Hyderabad,Office Supplies,Stationery,Apex Stationery Smart,19712.56,6,0.0,5222.29,2024,5,May 2024,26.49
ORD-00679,2024-10-04,2024-10-09,CUST-0119,Consumer,South,Karnataka,Bengaluru,Clothing,Men's Wear,Nova Men's Wear Smart,1145.73,3,0.0,362.37,2024,10,Oct 2024,31.63
ORD-01599,2024-10-18,2024-10-19,CUST-0064,Corporate,East,West Bengal,Kolkata,Clothing,Kids Wear,Apex Kids Wear Eco,18013.64,5,0.1,4702.03,2024,10,Oct 2024,26.1
ORD-00163,2023-11-09,2023-11-10,CUST-0124,Home Office,East,Bihar,Patna,Office Supplies,Stationery,Crest Stationery Pro,13595.69,4,0.05,3349.35,2023,11,Nov 2023,24.64
ORD-01990,2023-09-20,2023-09-21,CUST-0072,Corporate,South,Tamil Nadu,Chennai,Clothing,Kids Wear,Zenith Kids Wear Premium,7869.79,5,0.1,2163.22,2023,9,Sep 2023,27.49
ORD-00927,2023-11-01,2023-11-05,CUST-0338,Corporate,East,West Bengal,Kolkata,Electronics,Smart Watches,Pulse Smart Watches Classic,82833.66,3,0.1,2868.71,2023,11,Nov 2023,3.46
ORD-01969,2024-05-10,2024-05-13,CUST-0356,Consumer,South,Telangana,Hyderabad,Furniture,Office Chairs,Vertex Office Chairs Premium,5456.52,1,0.05,642.85,2024,5,May 2024,11.78
ORD-00683,2024-11-10,2024-11-14,CUST-0034,Home Office,West,Rajasthan,Jaipur,Electronics,Smart Watches,Nova Smart Watches Lite,21533.13,3,0.05,1746.67,2024,11,Nov 2024,8.11
ORD-00032,2023-10-03,2023-10-07,CUST-0192,Consumer,East,Odisha,Bhubaneswar,Clothing,Winter Wear,Apex Winter Wear Lite,10276.87,5,0.0,3453.69,2023,10,Oct 2023,33.61
ORD-00307,2023-08-25,2023-08-29,CUST-0221,Corporate,West,Maharashtra,Pune,Groceries,Personal Care,Apex Personal Care Pro,7484.94,10,0.05,1152.23,2023,8,Aug 2023,15.39
ORD-01007,2023-01-14,2023-01-15,CUST-0342,Corporate,West,Maharashtra,Pune,Clothing,Winter Wear,Aura Winter Wear Smart,1818.75,3,0.0,648.77,2023,1,Jan 2023,35.67
ORD-00912,2024-11-11,2024-11-14,CUST-0029,Consumer,West,Gujarat,Ahmedabad,Clothing,Winter Wear,Crest Winter Wear Max,3920.13,2,0.2,411.88,2024,11,Nov 2024,10.51
ORD-01097,2024-12-16,2024-12-17,CUST-0392,Consumer,South,Tamil Nadu,Chennai,Electronics,Mobile Phones,Zenith Mobile Phones Eco,58937.37,3,0.05,3468.66,2024,12,Dec 2024,5.89
ORD-00378,2024-03-26,2024-03-31,CUST-0244,Consumer,South,Kerala,Kochi,Groceries,Staples,Aura Staples Basic,8426.69,9,0.0,1664.47,2024,3,Mar 2024,19.75
ORD-00089,2024-03-14,2024-03-18,CUST-0293,Corporate,West,Maharashtra,Pune,Electronics,Smart Watches,Pulse Smart Watches Pro,42823.73,3,0.05,3151.19,2024,3,Mar 2024,7.36
ORD-01671,2023-10-03,2023-10-05,CUST-0223,Corporate,South,Tamil Nadu,Chennai,Clothing,Winter Wear,Apex Winter Wear Classic,16616.5,4,0.05,5114.3,2023,10,Oct 2023,30.78
ORD-01273,2023-11-20,2023-11-23,CUST-0381,Corporate,West,Gujarat,Ahmedabad,Electronics,Headphones,Nimbus Headphones Pro,18737.35,1,0.15,-450.61,2023,11,Nov 2023,-2.4
ORD-01949,2024-10-15,2024-10-16,CUST-0128,Corporate,West,Maharashtra,Pune,Furniture,Sofas,Nova Sofas Plus,50678.53,2,0.1,3192.58,2024,10,Oct 2024,6.3
ORD-00923,2023-04-20,2023-04-24,CUST-0304,Consumer,North,Haryana,Gurugram,Clothing,Men's Wear,Zenith Men's Wear Premium,1756.39,1,0.0,530.83,2023,4,Apr 2023,30.22
ORD-01001,2023-02-16,2023-02-18,CUST-0375,Consumer,North,Delhi,New Delhi,Furniture,Bookcases,Nova Bookcases Classic,16816.96,1,0.1,880.02,2023,2,Feb 2023,5.23
ORD-01702,2023-06-26,2023-07-01,CUST-0397,Consumer,North,Haryana,Gurugram,Furniture,Study Tables,Crest Study Tables Max,59761.91,2,0.05,7720.4,2023,6,Jun 2023,12.92
ORD-00718,2023-12-01,2023-12-06,CUST-0395,Consumer,South,Karnataka,Bengaluru,Clothing,Women's Wear,Apex Women's Wear Classic,4194.27,1,0.15,840.46,2023,12,Dec 2023,20.04
ORD-00088,2024-11-08,2024-11-14,CUST-0185,Consumer,North,Haryana,Gurugram,Clothing,Kids Wear,Aura Kids Wear Lite,521.27,1,0.05,153.31,2024,11,Nov 2024,29.41
ORD-00519,2024-08-12,2024-08-13,CUST-0191,Consumer,West,Maharashtra,Pune,Electronics,Tablets,Atlas Tablets Premium,40025.96,1,0.05,1398.37,2024,8,Aug 2024,3.49
ORD-01925,2024-02-09,2024-02-11,CUST-0356,Consumer,East,West Bengal,Kolkata,Electronics,Mobile Phones,Orbit Mobile Phones Smart,35258.03,1,0.05,2923.5,2024,2,Feb 2024,8.29
ORD-01774,2024-10-30,2024-11-01,CUST-0036,Corporate,North,Uttar Pradesh,Lucknow,Groceries,Beverages,Zenith Beverages Ultra,1831.37,2,0.3,-172.07,2024,10,Oct 2024,-9.4
ORD-01486,2024-12-17,2024-12-22,CUST-0087,Consumer,South,Tamil Nadu,Chennai,Office Supplies,Storage & Organizers,Nimbus Storage & Organizers Premium,42378.91,7,0.3,-3233.98,2024,12,Dec 2024,-7.63
ORD-01971,2023-05-27,2023-06-01,CUST-0004,Consumer,South,Kerala,Kochi,Furniture,Bed Frames,Orbit Bed Frames Basic,41169.53,2,0.1,2052.98,2023,5,May 2023,4.99
ORD-01719,2023-11-10,2023-11-16,CUST-0022,Corporate,West,Rajasthan,Jaipur,Clothing,Footwear,Apex Footwear Classic,6273.36,2,0.0,2135.65,2023,11,Nov 2023,34.04
ORD-01433,2024-03-27,2024-03-31,CUST-0311,Home Office,East,Odisha,Bhubaneswar,Clothing,Men's Wear,Zenith Men's Wear Smart,12211.95,3,0.0,4381.24,2024,3,Mar 2024,35.88
ORD-01977,2024-08-19,2024-08-20,CUST-0349,Consumer,South,Tamil Nadu,Chennai,Clothing,Women's Wear,Pulse Women's Wear Ultra,3976.28,1,0.15,886.38,2024,8,Aug 2024,22.29
ORD-01614,2023-01-09,2023-01-14,CUST-0303,Corporate,West,Maharashtra,Pune,Groceries,Beverages,Vertex Beverages Plus,1837.62,4,0.15,175.21,2023,1,Jan 2023,9.53
ORD-01468,2024-10-11,2024-10-15,CUST-0236,Corporate,South,Kerala,Kochi,Office Supplies,Printers,Nova Printers Premium,2911.74,7,0.15,318.46,2024,10,Oct 2024,10.94
ORD-00159,2023-01-10,2023-01-11,CUST-0024,Corporate,West,Maharashtra,Mumbai,Office Supplies,Storage & Organizers,Orbit Storage & Organizers Smart,11367.11,3,0.4,-1642.72,2023,1,Jan 2023,-14.45
ORD-00418,2024-10-22,2024-10-27,CUST-0106,Corporate,West,Maharashtra,Mumbai,Electronics,Headphones,Crest Headphones Pro,29217.13,1,0.2,-2546.4,2024,10,Oct 2024,-8.72
ORD-01649,2024-12-28,2024-12-31,CUST-0229,Corporate,West,Gujarat,Ahmedabad,Electronics,Mobile Phones,Vertex Mobile Phones Lite,13880.81,1,0.05,954.43,2024,12,Dec 2024,6.88
ORD-01075,2024-12-09,2024-12-10,CUST-0215,Consumer,West,Maharashtra,Pune,Electronics,Tablets,Crest Tablets Ultra,4841.04,1,0.0,549.89,2024,12,Dec 2024,11.36
ORD-01318,2024-12-04,2024-12-08,CUST-0134,Corporate,North,Punjab,Ludhiana,Electronics,Smart Watches,Orbit Smart Watches Ultra,46683.1,3,0.0,5610.44,2024,12,Dec 2024,12.02
ORD-01125,2024-01-25,2024-01-29,CUST-0240,Home Office,West,Gujarat,Ahmedabad,Electronics,Laptops,Crest Laptops Lite,29176.08,3,0.05,444.93,2024,1,Jan 2024,1.52
ORD-01759,2023-04-02,2023-04-05,CUST-0328,Corporate,North,Punjab,Ludhiana,Electronics,Tablets,Vertex Tablets Pro,93161.88,3,0.4,-23664.53,2023,4,Apr 2023,-25.4
ORD-00417,2023-04-18,2023-04-22,CUST-0192,Consumer,West,Maharashtra,Pune,Clothing,Kids Wear,Apex Kids Wear Smart,7899.27,3,0.05,2497.19,2023,4,Apr 2023,31.61
ORD-00974,2024-10-15,2024-10-21,CUST-0155,Corporate,West,Rajasthan,Jaipur,Office Supplies,Printers,Orbit Printers Eco,27857.19,8,0.1,6270.15,2024,10,Oct 2024,22.51
ORD-01292,2023-10-28,2023-10-30,CUST-0057,Consumer,North,Haryana,Gurugram,Electronics,Laptops,Apex Laptops Eco,130318.67,3,0.1,-6792.49,2023,10,Oct 2023,-5.21
ORD-01528,2023-12-04,2023-12-06,CUST-0259,Corporate,North,Uttar Pradesh,Lucknow,Clothing,Kids Wear,Vertex Kids Wear Pro,6799.08,3,0.4,-671.12,2023,12,Dec 2023,-9.87
ORD-00059,2024-12-27,2025-01-01,CUST-0236,Corporate,East,West Bengal,Kolkata,Electronics,Mobile Phones,Nova Mobile Phones Premium,66733.35,2,0.05,4491.97,2024,12,Dec 2024,6.73
ORD-00114,2023-11-14,2023-11-16,CUST-0002,Consumer,East,Bihar,Patna,Electronics,Laptops,Apex Laptops Lite,150399.72,3,0.1,-7112.67,2023,11,Nov 2023,-4.73
ORD-00226,2023-01-09,2023-01-12,CUST-0283,Home Office,West,Maharashtra,Pune,Clothing,Men's Wear,Vertex Men's Wear Smart,3550.76,1,0.1,1015.02,2023,1,Jan 2023,28.59
ORD-00768,2024-02-01,2024-02-04,CUST-0372,Consumer,North,Punjab,Ludhiana,Office Supplies,Paper Products,Orbit Paper Products Basic,5926.37,3,0.4,-557.75,2024,2,Feb 2024,-9.41
ORD-01769,2023-06-22,2023-06-27,CUST-0304,Consumer,South,Telangana,Hyderabad,Groceries,Personal Care,Crest Personal Care Max,1370.24,3,0.2,94.8,2023,6,Jun 2023,6.92
ORD-01569,2023-07-17,2023-07-22,CUST-0247,Consumer,South,Karnataka,Bengaluru,Clothing,Footwear,Aura Footwear Plus,5410.39,3,0.05,1425.77,2023,7,Jul 2023,26.35
ORD-00126,2024-04-07,2024-04-13,CUST-0203,Consumer,West,Rajasthan,Jaipur,Groceries,Snacks,Pulse Snacks Smart,2699.0,5,0.2,-41.68,2024,4,Apr 2024,-1.54
ORD-00632,2024-11-15,2024-11-21,CUST-0111,Consumer,North,Delhi,New Delhi,Electronics,Laptops,Pulse Laptops Smart,74478.08,2,0.15,-2039.8,2024,11,Nov 2024,-2.74
ORD-01556,2024-11-13,2024-11-19,CUST-0115,Consumer,North,Delhi,New Delhi,Electronics,Tablets,Nimbus Tablets Basic,9045.43,1,0.0,1222.29,2024,11,Nov 2024,13.51
ORD-00840,2023-12-15,2023-12-19,CUST-0172,Home Office,South,Karnataka,Bengaluru,Electronics,Smart Watches,Apex Smart Watches Eco,17947.64,1,0.05,736.87,2023,12,Dec 2023,4.11
ORD-00660,2023-02-03,2023-02-04,CUST-0158,Consumer,North,Haryana,Gurugram,Clothing,Women's Wear,Crest Women's Wear Premium,1180.05,1,0.05,337.37,2023,2,Feb 2023,28.59
ORD-00127,2023-11-13,2023-11-17,CUST-0158,Consumer,West,Maharashtra,Pune,Electronics,Tablets,Vertex Tablets Classic,50222.1,3,0.3,-6344.39,2023,11,Nov 2023,-12.63
ORD-00668,2024-11-10,2024-11-15,CUST-0033,Corporate,North,Uttar Pradesh,Ghaziabad,Electronics,Laptops,Aura Laptops Pro,51892.46,2,0.0,3074.87,2024,11,Nov 2024,5.93
ORD-00666,2023-12-10,2023-12-15,CUST-0202,Home Office,South,Kerala,Kochi,Office Supplies,Paper Products,Apex Paper Products Max,38615.66,6,0.05,8141.89,2023,12,Dec 2023,21.08
ORD-01532,2024-12-13,2024-12-14,CUST-0351,Consumer,West,Gujarat,Ahmedabad,Electronics,Laptops,Nova Laptops Eco,5246.03,3,0.0,597.62,2024,12,Dec 2024,11.39
ORD-00027,2024-06-26,2024-07-01,CUST-0349,Consumer,North,Uttar Pradesh,Ghaziabad,Electronics,Laptops,Crest Laptops Premium,36820.56,1,0.1,2357.96,2024,6,Jun 2024,6.4
